epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,12181.7,0.76442,0.51063,1.09711,0.73279,0.6002,0.65338,0.382,1.34573,0.87521,1.63061,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12347.2,0.76147,0.50982,1.09426,0.73085,0.61527,0.65651,0.38342,1.34595,0.85467,1.64973,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12518,0.74525,0.50113,1.08538,0.68063,0.6365,0.64241,0.37603,1.35002,0.86484,1.64388,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12684,0.74449,0.49776,1.0803,0.70501,0.61052,0.64478,0.37819,1.35662,0.88193,1.65451,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12849.8,0.72957,0.4895,1.07732,0.68391,0.62199,0.64675,0.38255,1.3498,0.8898,1.65625,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13018.3,0.72105,0.47943,1.07394,0.70627,0.60646,0.64363,0.38133,1.34427,0.89391,1.64663,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13189.4,0.71377,0.48293,1.06925,0.70811,0.61895,0.63806,0.3767,1.345,0.87265,1.65156,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13359.1,0.71336,0.47809,1.06672,0.72821,0.60396,0.63506,0.37595,1.34672,0.87733,1.66353,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13528.4,0.70463,0.46868,1.06406,0.67733,0.6357,0.64032,0.37999,1.34694,0.88149,1.65864,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13695.1,0.70785,0.46344,1.06073,0.6944,0.60877,0.64608,0.38439,1.34327,0.86857,1.66656,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13861.4,0.68676,0.45242,1.05093,0.72567,0.60466,0.65367,0.38769,1.3389,0.86478,1.6602,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14027.8,0.69544,0.46565,1.05838,0.68575,0.63205,0.64568,0.38483,1.34787,0.87237,1.66611,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14193,0.67318,0.44656,1.04381,0.70758,0.60704,0.64239,0.38384,1.34391,0.87431,1.67418,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14358,0.67678,0.44827,1.05013,0.6989,0.61773,0.6488,0.38441,1.35207,0.88268,1.69617,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
